RegionID,RegionName,City,State,Metro,CountyName,SizeRank,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02
97222,93306,Bakersfield,CA,Bakersfield,Kern,333,86800,87100,87500,88200,88600,88600,88700,89000,89000,88900,89000,88900,88700,88300,87900,87300,86800,86200,85700,85500,85300,85300,85600,85900,86000,86200,86500,86700,86400,85800,85600,85600,85800,86300,86900,87300,87600,87600,87300,87100,87600,88400,89200,89800,90200,90700,91300,91600,92100,92700,93000,92900,92900,92900,92900,92800,92900,92900,92900,93500,94400,95200,96000,97000,97700,98500,99100,99800,101200,103200,105100,106100,106100,106200,106500,107400,108500,109900,111400,112800,114200,115900,117900,119600,121700,124000,126100,127700,129500,131600,133500,135400,137200,138800,140600,143100,146400,150200,154600,159600,165000,170300,176100,182600,189000,194800,200800,207500,214100,220400,227300,234400,241700,249000,255400,260700,264900,267600,269200,271100,272400,272600,272500,271600,269800,268300,267600,266800,265300,263900,262400,260600,258400,255700,252200,248400,244300,239300,234000,228300,222700,217700,212600,207300,202800,199400,196000,192000,186900,181800,177200,172800,168500,164300,160200,156000,151400,146400,141700,137900,134400,130900,128200,126300,124600,123200,122500,122200,122300,122200,121200,120100,119800,119600,119100,118300,117300,116600,116300,115200,113300,111600,110800,110300,110300,110300,109900,109900,110800,111900,112300,113000,114300,116100,118000,119900,121200,122700,124500,126400,128100,129700,131500,133800,136700,139900,142900,145700,148900,152300,154800,156500,157800,158300,158300,158400,158900,159600,160200,160700,161700,162500,163100,163500,164500,166200,167600,168400,168600,168700,169400,170400,170700,171000,171700,172400,172900,173400,174400,175500,176500,177700,178900,179500,179600,179900,180400,181200,181700,182200,182800,184200,185600,186300,186300,186500,187000,187700,188500,189400,190600,192100,193700
97223,93307,Bakersfield,CA,Bakersfield,Kern,343,67000,66800,67100,67800,68300,68700,68900,68900,68800,68700,68700,68800,69100,69300,69000,68100,67200,66700,66200,65900,65700,65700,66000,66400,66600,66500,66800,67200,67400,67500,67900,68400,68900,69500,70100,70300,70400,70700,70800,70800,70400,70000,69900,70000,70100,69900,69800,69600,69300,69500,70000,70700,71500,72300,72900,73200,73500,74100,74700,75200,76000,77000,77600,78100,78400,78700,78900,79100,79600,80500,81400,82300,83000,83600,84100,84900,85700,86700,87800,88800,89900,91300,92600,93700,94800,95800,96500,97300,98300,99300,100800,103000,105600,108400,111000,113800,117300,121100,125100,129500,134200,139000,143800,148600,153200,157200,161900,167000,172400,178100,184500,191300,198900,206500,213000,218800,223400,226200,228400,230800,232800,234100,235300,235800,235300,234500,234000,233300,231300,228900,228000,228100,227400,226300,223900,220400,216700,213100,208400,203500,198100,193000,188000,182900,177100,171800,166300,160400,154500,148700,143100,138000,132500,126900,121900,117600,112900,107800,103500,100300,97500,95100,93600,91900,93100,96500,97700,96500,96200,95900,95300,94400,93400,92500,92000,91400,89900,88000,86800,86000,84700,83500,83200,83400,83700,84100,84300,84500,84500,84100,83900,84500,85500,86700,87400,88100,88600,88900,89300,90000,90800,92000,93600,95200,97300,99600,102100,105600,109700,113300,116200,118800,120800,121700,122000,123100,125200,127900,130500,131700,132600,133900,135200,135800,136700,138000,139700,141000,141400,142100,143300,144300,144800,145100,146000,147800,148400,147800,148200,149900,150900,150900,151300,151700,151900,152000,152100,152500,153300,154200,155400,156900,158100,159100,159600,159400,159200,159900,160300,160800,161500,162600,164000
97225,93309,Bakersfield,CA,Bakersfield,Kern,348,89000,89200,89100,88700,88600,88400,88000,87800,88000,88100,88000,87900,87600,87300,86900,86600,86300,86000,85700,85700,85500,85400,85800,86300,86300,86300,86500,86700,86900,87300,87600,87800,88100,88600,89100,89400,89500,89900,90400,90600,90700,91100,91400,91500,91900,92600,93100,93400,93900,94700,95600,96300,96600,96700,96900,97100,97500,98100,98700,99600,100800,101600,101900,102000,102100,102500,103300,103800,104100,104600,105600,106800,108000,108800,109600,111000,113000,114900,116400,118200,120200,122000,123700,125100,126400,127800,129200,131000,132800,134700,137000,139700,142800,146100,149400,152500,156400,161800,168100,174200,179700,185000,190700,196800,202400,207900,213700,220100,226100,231300,236600,243000,250000,257100,263700,269800,274400,278000,280700,283100,284300,284300,283100,280700,278300,276600,274700,272100,269300,266500,264300,262700,260800,258200,254900,250800,245700,239900,234100,228000,222100,216800,210700,203500,196800,191300,186600,182200,177500,172900,168500,164400,160400,156600,153000,149400,145500,141400,137600,134800,132600,129700,127000,125100,124000,122700,121300,120400,120500,120800,120700,120300,119900,120000,119800,119300,118800,118200,118200,118000,116800,115000,113700,112700,112300,112400,112800,113300,113800,114500,114900,115300,116200,117600,118800,120000,121100,122400,124000,125800,127500,129300,131300,133900,136700,139900,143400,146800,150100,153100,155800,158200,159900,161100,162300,163400,164600,165700,166800,167500,168400,169600,170600,170800,171400,172500,173700,174800,175500,176200,177000,178000,178600,179000,179100,179400,179800,180000,180200,180900,181800,182600,183300,183600,183200,182600,182100,182000,182100,182900,183500,184300,186300,188300,189300,189700,190300,191200,191900,192000,192200,193200,194500
97224,93308,Oildale,CA,Bakersfield,Kern,587,82700,83500,84000,84700,85100,85600,86100,85800,85400,86200,87400,87900,87900,88200,88500,88200,87300,86400,85800,85600,85200,85000,85000,85200,85900,86800,86900,86900,86700,86900,87300,88100,89000,89600,90100,90000,89600,89100,88800,88700,88700,88300,88500,88900,89100,89300,89900,90300,90600,91300,92000,92700,93600,94500,94700,94800,95300,95700,96100,96600,97000,97700,98800,99200,99200,99500,100200,100800,101500,102900,104800,106400,107500,108300,109100,110200,111600,113000,113700,114600,115800,117300,118900,120700,122500,124400,126100,128000,129700,131100,133100,136200,139200,141900,144400,146600,149600,153600,158300,163900,170600,177200,183500,189200,194800,200100,205300,210800,216300,221300,226200,231700,238600,246900,254800,261200,266400,270200,272700,275100,277200,278600,278700,277800,275900,274200,272100,269600,266700,264000,261800,260500,259200,257000,253700,248900,243200,236900,231000,225300,220500,216300,211600,205500,199300,194300,190000,185600,181200,176800,172700,168800,165100,161500,158200,155000,151600,147800,144100,141400,138800,136000,133000,130700,129100,127800,126100,124600,124100,124100,123900,123600,123200,122900,122700,122500,121800,120600,120000,119200,117700,116200,115100,114100,113500,113100,113200,113700,114400,115100,115900,116800,117800,118800,120000,121400,122700,124100,125600,126900,128400,130400,132700,135400,138300,141000,143700,146300,149300,152500,154900,156400,157600,158700,160200,161600,162600,163800,165600,167100,168500,169900,171000,171400,172200,173500,174200,174800,175700,176600,177200,177800,178200,178600,179300,180200,180700,180700,180600,180900,181300,181700,182100,182800,182900,183000,183300,183900,184800,185900,186600,187500,188900,190000,190500,191000,191100,191000,191100,191700,191800,192600,194100
97227,93312,Bakersfield,CA,Bakersfield,Kern,747,132400,132300,132300,131900,131600,131600,131500,131100,131400,132500,133500,133700,133700,134200,135400,136600,136500,135000,133400,132900,132700,132600,133100,134600,135900,135700,134900,135000,135300,135100,135200,135300,135500,135600,136200,137200,138500,140300,141400,141300,141100,141100,140900,140900,141000,141700,142000,141200,140400,141000,141600,142700,144100,145300,146700,148300,148900,149200,150200,150600,150300,149900,150100,150100,150100,149900,150000,150500,151900,153800,155900,157600,158800,160100,161500,163000,164700,166700,168300,170100,172400,174900,177500,180300,183100,186100,189400,192500,195300,198600,202800,206900,210600,214400,217900,221900,227400,233600,240800,248800,258000,268400,278900,288500,296100,302000,308200,316200,323100,328700,334100,340500,347000,352800,358000,363500,369000,373400,375800,377200,377900,377400,375400,372000,368200,364200,359400,354100,349200,345200,341800,338800,336400,333900,330100,325000,319500,313600,308000,302200,296100,290600,285100,278800,272900,267800,263300,259300,254900,250100,245800,241900,238000,234300,231100,227800,224000,220100,216600,213800,211400,208600,205900,203700,202600,202100,201000,199200,198300,198000,197300,195900,194300,192800,190900,189000,187300,185300,183500,182400,180800,178600,176600,174900,174200,174600,175400,176200,177300,178500,179600,180900,182300,184100,186500,189000,191200,193900,197400,200800,204200,207700,211400,215500,219900,223800,227400,232000,237100,241600,244800,247700,249300,250000,250900,252200,254200,256600,259200,260900,262000,262400,262200,261200,261000,261900,263600,264800,265500,266200,267000,267600,267800,267200,266900,267100,267100,266400,266000,266000,265700,265300,265300,265200,264800,264800,265300,266200,267400,269000,269700,270200,271400,272500,272700,272500,272900,273800,274700,275600,276600,277900,279600
97226,93311,Bakersfield,CA,Bakersfield,Kern,1491,140300,142300,143600,143500,143300,143200,142700,141700,140700,140600,140800,140900,141300,141200,140700,140600,140100,139000,137600,136500,136200,137400,139000,140200,141500,142300,143200,144800,146200,146600,147100,148000,148800,149400,150700,151700,151200,150800,151000,150800,150300,149900,150100,151300,151700,151500,151100,150500,150200,151300,152300,153200,154200,155200,156400,157700,158900,160200,161900,163100,163400,163400,163600,163200,163300,164200,164800,164300,163700,164100,165500,167100,168600,169900,171200,172500,174000,175700,177600,180200,184100,187900,190500,192800,195500,197900,200400,203700,206900,210100,213800,218000,222500,226800,230200,233600,238700,244600,251100,258800,267000,274900,283100,291600,298500,305100,312600,320400,326000,332200,339600,347500,355600,363200,369000,373800,377900,380900,383500,385700,387000,386600,384500,380500,375800,371900,368200,363800,359400,355300,351000,347100,343700,339900,334700,327700,320600,314000,307800,300800,293800,287600,281800,275500,269300,263800,259600,256700,253300,249200,245400,242000,238800,235800,233200,230500,227300,223700,220300,217700,214700,211500,208900,207400,206000,204800,203200,201800,201100,200800,200100,198900,197600,196300,194900,193400,191700,189700,188000,186500,184700,182800,181100,179600,179300,180000,180400,180400,181300,182800,184300,185700,188000,191000,193800,196000,198500,201900,205400,209100,212500,215300,218000,221200,224700,228100,231800,236800,241800,245500,248300,251000,252800,254200,256000,257900,259700,261200,262600,263400,264000,264400,264500,263800,264200,265500,266900,267500,268000,268400,268900,269500,269300,268400,267900,268400,268700,268200,268100,268500,268200,267900,268300,268500,267600,266900,266900,267600,268400,269300,269700,270400,271900,272500,271700,270700,270800,271900,272500,272200,272400,273700,275500
97220,93304,Bakersfield,CA,Bakersfield,Kern,1570,66700,67200,67900,68300,68300,68300,68400,68400,68300,68500,68800,69000,69000,68800,68600,68400,68300,68000,67900,68000,68300,68400,68700,69000,68900,68600,68700,69000,69200,69500,69800,69800,69900,70400,70700,70800,71000,71100,70900,70700,70400,70300,70400,70400,70600,70900,71300,71900,72600,73400,74000,74700,75200,75400,75400,75600,75800,76100,76200,76300,76300,76700,77400,78000,78000,78100,78500,79000,79500,79900,80800,81700,82600,83500,84000,84400,84800,85700,86700,87900,89200,90800,92300,93800,95400,96700,97600,98700,100500,102400,104000,105700,107800,110100,112400,114800,117700,121500,125900,130600,136200,142100,147900,153400,158300,162900,168000,172900,176400,180500,185900,191500,197400,203100,208400,214300,220200,223300,225600,228900,231900,232900,232800,232400,231700,230800,230100,229100,226500,223700,222200,221200,219500,217300,214500,211800,208600,204400,199200,193200,186300,179900,173900,168700,164300,160300,156100,151800,147100,142300,137500,132900,127700,122500,118100,114300,109700,105000,100600,96400,92000,88100,85000,82300,83000,86100,87300,85600,85200,85700,86400,86500,86600,86600,87100,87600,87000,85600,84500,83700,82500,81300,80300,79500,78900,78600,78500,78500,77800,76900,76700,77400,78000,78400,78500,78800,79700,80800,81700,83300,85000,86600,88300,90500,93100,96000,99000,102500,106400,110000,113000,115700,117900,119100,120200,121500,123000,124600,126400,127700,129000,130200,130900,131000,131200,131600,132500,133700,134300,134900,136100,137300,138200,139100,140100,140900,141800,142600,143200,144000,144700,145200,145900,146300,146200,146800,147300,147700,147800,148300,148900,149900,151300,151800,151500,151700,152500,153300,154100,154900,155200,155700,157200
97228,93313,Bakersfield,CA,Bakersfield,Kern,1926,99900,99300,98900,99100,99200,99200,100000,101300,101800,102000,102200,103100,104400,105600,106200,106200,105700,105200,105000,104800,104500,104800,105400,105700,105900,105900,105800,106100,106200,105900,105800,105800,106200,106600,107000,107200,107600,107700,107800,107800,107800,107600,107300,107200,107300,107600,108000,108300,108600,109200,110200,111000,111800,112600,113300,113900,114900,115900,117000,117900,118800,119200,119500,119900,120500,121500,122700,123700,124600,125800,126600,127400,128100,128500,129000,129900,131200,132600,133500,135100,137400,139700,142300,144900,147100,148600,150100,152600,155700,159100,162600,166200,169000,171600,174500,177200,181000,188300,197400,205600,212800,220400,227100,232600,238500,244900,251500,258800,266200,272900,279200,285700,292500,298600,304600,311800,317900,321800,324600,327500,330000,331000,329900,326500,322100,318700,315900,312200,308000,304400,301500,299100,296800,293000,288200,282900,277500,271800,266000,259600,253000,246700,240400,233800,227300,221200,215900,211600,207500,203300,199200,195500,191800,187900,184300,180800,176700,172300,168500,165500,162900,160200,157900,156100,155400,155300,154600,153300,152500,151900,151100,150000,148800,147500,146500,145700,144500,143100,142100,141400,140700,140700,141200,141000,140000,138600,137400,136300,135700,135800,135700,135800,136400,137400,138200,139200,140700,143300,146400,149300,152500,156000,159400,162600,165500,167900,170500,174300,179600,184800,188900,192300,194600,195800,196800,198500,200500,202100,203300,204400,205400,206400,207200,207800,208800,210200,211800,213200,213700,214300,215500,216700,217300,217500,217800,218100,217800,217200,217200,217500,217900,218200,218400,218000,217200,216600,216700,217400,218200,218800,219300,220700,223200,225200,225600,225600,226300,227300,227500,227600,228600,230300,232000
97333,93555,Ridgecrest,CA,Bakersfield,Kern,2457,74000,73600,73300,72900,72600,72200,71700,71200,70800,70400,70100,69800,69500,69200,68700,68200,67800,67700,68000,68000,68000,68000,68200,68400,68500,68400,68500,68700,68500,68300,68500,68800,68400,68000,67700,67200,66800,66700,66300,66000,66100,66300,66100,66100,66500,67400,67900,68200,68500,69200,70300,70800,70500,69800,69500,69700,70100,70500,71300,72700,73800,74700,75400,76300,77200,78200,79300,80000,80400,80700,81200,81700,82400,82800,83100,83800,85100,86600,88100,89600,91000,92500,94100,95900,97700,99400,101200,102900,104700,106700,108600,110200,111600,112800,114000,115200,117000,119000,121300,123900,127000,130200,133800,137400,140800,144200,147400,150200,152700,155000,157800,161600,165700,169500,173200,178200,184600,190400,195200,200100,204600,207600,209000,209300,208000,205200,201900,198900,196400,195100,193900,192000,190600,189600,187600,184500,181800,179800,177700,174400,171100,168500,165700,162400,160000,158900,159600,160900,161300,161300,161900,162700,163500,164200,164900,165700,166000,165900,166300,167200,167900,168000,168200,168800,168200,166800,165900,165200,164600,164400,163500,161800,161000,160900,161100,161100,160900,160000,159400,159300,158400,156800,155100,154200,154000,153700,151800,149300,148100,148400,148500,148100,147400,146700,145700,144500,143700,143900,144300,144800,144900,144600,144100,144400,145500,146700,147100,147800,148300,148800,149200,149900,149800,149100,148500,148700,149700,151300,152800,153400,153500,153400,152900,152400,153100,154900,156600,157400,157300,157400,158300,159600,160100,160100,160600,161600,162100,162300,163000,164100,165100,165700,166100,166200,166100,166300,167100,168500,170600,172500,173700,175200,177200,179100,180600,181700,182900,184600,186800,188700,190100,191000,191900
97337,93561,Tehachapi,CA,Bakersfield,Kern,3047,105500,105200,104800,104000,103800,104100,104300,104600,105400,105400,104900,105200,106100,106500,106600,106600,106300,105900,105600,105500,105300,105300,105600,105900,105700,105300,105200,105600,105900,106100,107100,108300,108900,109800,111100,112000,112400,112900,113600,114600,115100,114600,113900,113600,113400,113400,113400,113200,113600,114800,116200,117100,117500,117800,118300,118300,118500,119300,119900,120400,121300,122400,123100,123500,124300,125700,127100,128000,128900,130200,131700,132900,133900,135100,136200,137500,139300,141900,144600,147500,150700,153900,156700,159600,162400,164600,165900,167400,169700,171700,173600,176000,178700,180800,183600,187600,192500,197900,204400,211300,217600,223800,230500,236800,242700,249200,256900,264300,269300,273400,278300,283400,288100,291900,294600,298100,301700,303900,304400,304400,305000,305900,307000,307500,307800,308300,308800,308200,307100,305400,304100,303100,301600,298100,292900,287900,284300,280700,276700,271900,267400,263800,259800,254700,249800,245800,243500,242300,240800,238900,237200,235900,234600,233400,232600,231600,230200,228400,226200,223400,220200,216900,213900,212000,210500,208700,205300,202200,200400,199400,198200,197000,195000,192300,189400,186100,183000,180700,179800,178900,177300,175000,172700,170500,168500,167300,166600,165800,164700,163900,163300,162500,162100,162600,163100,163400,163600,164800,166400,168700,170500,171700,172400,174100,176300,179400,182500,185500,188400,191600,194400,196900,198700,199500,200500,202100,204200,205700,206400,207300,209000,210200,210400,210200,211000,212900,215100,217200,218500,219300,220700,221900,222600,223400,225100,226900,228300,229400,230800,231500,231800,232500,233300,234000,235200,236100,236100,236100,237000,238600,240400,242400,244600,246100,246500,247000,248500,250500,252300,254000,255800,257400,258900
